wins,year
"2,3,4,4,5,5,5,6,6,6,7,9,11,4,4,6,7,8,8,9,9",1960
"3,3,4,5,5,6,6,6,7,8,9,10,11,12,2,3,4,7,8,8,11,12",1961
"1,2,3,5,5,6,7,8,7,8,9,10,11,12,3,3,4,6,7,9,10,13",1962
"1,2,3,4,5,4,6,8,8,9,10,11,10,12,3,4,6,6,8,7,8,11",1963
"2,3,3,5,5,5,8,8,7,8,9,9,10,10,2,3,5,7,7,8,10,11",1964
"3,3,3,5,6,7,7,7,7,8,9,9,10,12,2,3,5,5,8,8,10,10",1965
"2,3,5,5,5,5,6,6,7,7,8,9,9,11,12,2,4,4,5,6,6,10,11,11",1966
"13,12,10,10,9,8,7,7,7,6,5,4,4,2,2,2,12,12,11,9,7,5,5,4,3,1",1968
"12,11,11,10,9,8,7,8,6,6,5,4,4,4,1,1,12,11,10,8,6,5,4,4,4,3",1969
"12,11,10,10,10,10,9,8,9,8,7,8,7,5,6,6,6,5,5,4,4,3,3,3,2,2",1970
"11,11,9,9,9,7,7,7,6,6,5,5,4,3,3,1,13,9,9,8,8,4,4,3,3",1967
"11,11,10,10,10,9,8,9,9,8,7,7,6,6,6,6,6,6,4,4,4,4,4,4,4,1",1971
"14,11,11,10,10,10,10,8,8,8,8,8,7,7,7,6,5,5,4,4,4,4,3,2,2,1",1972
"12,12,12,10,10,10,10,9,9,9,7,7,7,6,5,5,5,5,5,4,4,4,3,2,2,1",1973
"12,11,10,10,10,10,10,9,8,7,7,7,7,7,7,7,6,6,5,5,5,4,4,3,2,2",1974
"12,12,12,11,11,11,10,10,10,10,8,8,7,6,5,5,5,4,4,4,4,3,3,3,2,2",1975
"13,11,11,11,11,10,10,10,10,10,9,9,8,7,6,6,6,5,5,5,4,4,4,3,3,2,2,0",1976
"12,12,11,10,10,10,9,9,9,9,9,8,8,7,7,7,6,6,5,5,5,5,4,3,3,3,2,2",1977
"12,12,11,11,11,10,10,10,10,10,9,9,9,9,9,8,8,7,7,7,6,6,5,5,5,4,2,2",1979
"12,12,12,11,11,11,11,11,11,10,9,9,9,8,8,8,7,7,6,6,6,5,5,5,4,4,4,1",1980
"14,12,12,11,11,10,10,9,9,9,9,9,8,8,8,8,8,7,7,7,6,6,5,5,5,4,4,2",1978
"13,12,12,11,10,10,10,10,10,9,9,9,8,8,8,8,7,7,7,7,7,6,6,6,5,4,2,2",1981
"8,8,7,7,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,2,2,1,0",1982
"14,12,12,12,10,10,9,9,9,9,9,8,8,8,8,8,8,8,7,7,7,7,6,6,5,3,2,2",1983
"15,12,12,11,11,11,11,10,10,10,10,8,8,8,8,7,7,7,7,7,6,5,5,5,5,4,2,2",1985
"14,14,12,12,11,11,10,10,10,10,10,10,9,8,8,7,7,7,6,5,5,5,4,4,4,4,3,2",1986
"13,12,11,11,10,10,9,9,9,8,8,8,8,8,7,7,7,7,6,6,6,5,5,4,4,4,4,3",1987
"15,14,13,12,11,11,10,10,9,9,9,9,9,8,8,8,7,7,7,6,6,5,4,4,4,3,3,2",1984
"14,12,11,11,11,10,10,10,9,9,9,9,9,8,8,8,8,8,7,7,6,6,5,5,5,4,3,1",1989
"12,12,12,11,10,10,10,10,10,10,10,9,9,9,8,8,7,7,7,6,6,5,5,5,4,4,4,3",1988
"14,13,13,12,12,11,11,10,10,9,9,9,9,8,7,7,6,6,6,6,6,6,5,5,5,5,3,1",1990
"14,13,12,12,11,11,11,11,10,10,10,10,9,8,8,8,8,7,7,6,6,4,4,4,3,3,3,1",1991
"14,13,12,11,11,11,11,11,11,10,10,9,9,9,8,7,7,6,6,6,5,5,5,5,4,4,2,2",1992
"12,12,12,11,11,10,10,10,9,9,9,9,9,8,8,8,8,7,7,7,6,6,5,5,5,4,4,3",1993
"13,12,12,11,11,10,10,10,9,9,9,9,9,9,8,8,7,7,7,7,7,6,6,6,4,3,3,2",1994
"13,13,12,12,11,10,10,10,10,9,9,9,9,9,8,8,8,8,7,7,7,7,6,6,6,5,4,3,3,1",1996
"13,13,13,12,11,11,10,10,10,9,9,9,9,8,8,8,7,7,7,6,6,6,6,6,5,4,4,4,4,3",1997
"13,12,12,12,11,11,11,11,10,10,10,10,9,9,9,9,8,8,7,7,7,6,6,5,5,5,4,4,3,3,1",2000
"15,14,14,12,12,11,11,10,10,10,9,9,8,8,8,8,8,7,7,6,6,6,5,5,4,4,4,3,3,3",1998
"12,12,12,11,11,10,10,10,10,9,9,9,9,9,9,9,8,8,8,7,7,7,7,7,6,6,5,5,4,4,3,2",2002
"14,13,12,12,12,12,11,10,10,10,10,10,10,9,8,8,7,7,7,6,6,6,5,5,5,5,5,5,4,4,4,4",2003
"14,13,13,12,12,11,11,11,10,10,10,9,9,8,8,7,7,7,7,7,7,6,6,6,6,5,5,5,3,2,1",2001
"15,14,13,12,12,11,10,10,10,9,9,9,9,8,8,8,8,7,7,7,6,6,6,6,6,5,5,5,5,4,4,2",2004
"14,13,13,13,11,11,10,10,9,9,9,8,8,8,8,8,8,8,8,8,7,6,6,6,6,5,5,4,4,3,2",1999
"14,13,13,12,11,11,11,11,11,11,10,10,10,9,9,9,9,8,6,6,6,6,5,5,5,4,4,4,4,4,3,2",2005
"13,12,12,12,12,11,11,11,11,10,9,9,9,9,9,9,8,8,8,8,8,7,7,6,5,5,4,4,4,2,2,0",2008
"16,13,13,13,11,11,10,10,10,10,10,9,9,8,8,8,8,7,7,7,7,7,7,7,5,5,4,4,4,4,3,1",2007
"14,13,13,12,12,10,10,10,9,9,9,9,8,8,8,8,8,8,8,8,7,7,7,6,6,6,5,5,4,4,3,2",2006
"14,13,13,12,11,11,11,10,10,10,9,9,9,9,9,8,8,8,8,8,7,7,7,6,5,5,5,4,4,3,2,1",2009
"14,13,12,12,11,11,11,10,10,10,10,10,10,9,8,8,7,7,7,6,6,6,6,6,6,6,5,5,4,4,4,2",2010
"15,13,13,13,12,12,10,10,10,9,9,9,8,8,8,8,8,8,8,8,7,7,6,6,6,5,5,4,4,3,2,2",2011
"13,13,12,12,11,11,11,11,10,10,10,10,10,9,8,8,7,7,7,7,7,7,6,6,6,5,5,4,4,4,2,2",2012
"13,12,11,11,11,10,10,10,9,9,9,9,9,8,8,8,8,7,7,7,7,7,7,6,6,5,5,4,4,3",1995
"13,13,12,12,12,11,11,11,11,10,10,9,8,8,8,8,8,8,8,7,7,7,7,6,5,4,4,4,4,4,3,2",2013
